review,sentiment
"b'I HATE THIS MOVIE!!!!!! I have never seen such utter, complete trash in my life!!! I live in France so it turned out that I was in the front line to watch this awful movie. At first, it seemed cool, kind of like something about a cursed forest that chomps people. Unfortunately, it turned out it was something QUITE different: a good start with a girl that meets a guy and all that whatnot, then the girl gets threatening messages in the form of ravens shut up in her bathroom closet(ludicrous), from that bit and on, the movie starts to slide downhill very quickly with a lot of desperate thrashing in the process. The movie ends with sacrificial druids galore and ancient ugly, stinky creatures coming back from the past to kill a few people. Many questions were rushing around my head by then: why the heck did they bring back that scummy monster? Do druids look like maniacs dressed in bedsheets? Why did they even bother making this movie?? The ""climax"" of the movie was so goofy I laughed all the way through it: the ""awful"" stinky monster does battle with the two young women(who appear to be expert kung fu masters) and the professor gets sliced in two or something. What surprised me was that the monster was so slow and ungainly in battle, wasn\'t it supposed to be a god of war or something? Anyway, the movie in it\'s death throws was a pitiful sight. A brief condensation of the contents of this movie: Kung fu mayhem+druid stones+mysterious murders ""\xc3\xa0 la thriller""+ancient prophecies+shabby ravens+old clumsy boneless war god+nutty professor=complete and utter, diseased, boneless, worm eaten, GODFORSAKEN, GODDAM, RECYCLED, FAKE, WANNABE, LUDICROUS SH*T!!!!!!!!! Things I learned from this movie: -Ancient war gods are lousy at kung fu. -All young women who study archeology at university in France are kung fu experts. -Professors are so resistant they can survive being sliced in two by a saw-mass-whatchamacallit without any injuries.'",0
"b""Even Disney are guilty of the cash cow disease, after the roaring success of The Love Bug in 1968, the house of mouse cashed in with Herbie Rides Again, Herbie Goes To Monte Carlo, and Herbie Goes Bananas. Neither sequel capturing the charm and inoffensive appeal of The Love Bug back in 68, in this one we find race driver Jim Douglas and his sidekick Wheely Applegate, entering Herbie in the Monte Carlo Rally. Naturally things outside of the race start to take over priorities, they get mixed up in a diamond robbery and Herbie falls in love with another car!. The car stunts are of course pleasant and easy on the eye, and it would be churlish of me to really vent venom on such a friendly piece of fluff, it's just that the film goes nowhere fast and personally now i can see it for the coin motivated piece of work it is. Still you get to see Herbie take a bath, foil the baddies and of course dance for the lady in his life, so something there for everyone i think....................4/10.""",0
"b""I saw this late at night on a minor channel and I put it on expecting a laugh or two. Martin Lawrence is a good comic actor and I reckoned he might be a good stand-up comedian/actor in the style of Richard Pryor.<br /><br />I couldn't have been more wrong. This concert was awful. It was full of racist comments directed at white people, Muslims and people from India (Muslims and Indians are the same thing in Lawrence's narrow mind) and rambling, clich\xc3\xa9d cod-philosophy (Lawrence, like many black comics and directors, can't resist the urge to preach when given a platform. Do we really need a lecture on Martin Luther King and the Civil Rights struggle during a stand-up comedy show?). Then there were his fawning comments designed to ingratiate him with women, it made my skin crawl listening to him.<br /><br />Worst of all, the show simply wasn't funny and I found it boring. I turned over halfway through and flipped back to find him either still preaching or going on and on and on about the birth of his child (there was no humour in the story of the birth of his child and it was self-indulgent on his part to bore us with the details. He clearly didn't have very much to say or he would have cut this section of the show out).<br /><br />This show was rubbish: Runteldat!""",0
"b""This show was a pleasant surprise after watching Mad TV on a Saturday night. Spike is an excellent host that you can tell is still getting used to it but he is doing great adjusting to his new job. I can imagine it being a difficult transition from writer(Seinfeld) to host however, unlike a lot of new talk show hosts he does not let airtime ride while trying to figure out what to do next. He is quick-minded and each segment and section rolls into one another smoothly. It also doesn't hurt that he's kinda sexy in a nerdy type of way so he's not hard on the eyes like Leno or Letterman. I can't remember the exact episode date that was my favorite but I especially LOVED the Idiot Paparazzi skit with a fake J-Lo and Katie Holmes. Great New Show!!""",1
"b'You the living? OK I think I am an intelligent, educated, liberal and really into films. I really like and have a great sense of humour. I was under the impression this was a bleakly painful comedy. They got paid for making this, petrol was used, electricity burnt, food was consumed, sets built........why? I blame the current state of the world on this film and all those people associated with it, I will even include us the viewing public. We are all to blame and deserve whatever coming. Its not funny, not much happens, everyone it seems is bored or boring. There are no conversations, communication is minimal. There is no plot as far as I am aware. I have in fact just lost 89 point something minutes of my life. I will never ever get that time back. The only message I have come away with is perhaps life is too short to sit around watching movies of people doing not much......and then you die!'",0
"b'Unlike the many who have posted here, I\'m not movie literate. I stumbled across this movie by accident (channel surfing), and couldn\'t surf away. This is a truly incredible movie, worthy of all the praise the critics and those on this site have heaped on it. The actors are terrific. Tatiana is beautiful and innocent. Her fianc\xc3\xa9 Boris is sweet and patriotic. You couldn\'t help but feel Boris\' father\'s exasperation and sorrow as he upbraids his son for such foolishness as volunteering to serve in the great war.<br /><br />Others have summarized the movie so well, so I\'ll just mention a couple of scenes that moved me the most. When Boris\' brother reveals to his family that he has broken trust with his brother and ""has to marry"" Tatiana, Tatiana\'s twisted mouth shows her revulsion at this betrayal (even though her part in the unfaithfulness might have been through rape). You fear that the rest of the movie might right this wrong by visiting just destruction on Tatiana and the brother, or worse, show Tatiana destroyed by an immoral descent into cigarette smoking decadence. Since this isn\'t ""French existential cinema"", the latter doesn\'t happen. Thankfully! <br /><br />Another scene that tears at your heart is when the unnamed ""musician"" soldier who was saved by Boris returns to tell Boris\' father of the death of his son. He unwittingly breaks the news to Tatiana. I can\'t describe the sorrow of this scene... Still,Tatiana finds finds a straw to grab and hope that Boris will yet come home. The musician actually never saw Boris buried, after all.<br /><br />I won\'t mention more scenes, but do want to observe that the touches of Soviet political correctness didn\'t detract at all from the film. Boris\' brother is revealed as the piano playing anti-soviet slacker that someone who steals his brother\'s wife-to-be would have to be. No doubt he gets at least a ""tenner"" at the conclusion of the film! The ending, when Tatiana finally learns for certain that Boris is dead, still manages to end with cheerfully and full of hope for the future. You don\'t even want to imagine the tears and catharsis that must have swept through the theater when survivors of that war, with their own losses in mind, first saw this movie.<br /><br />Incredible. Go see it.'",1
"b'The great James Cagney, top-billed in big letters, doesn\'t show up till the movie\'s second third, and probably has less screen time than Dudley Digges, who plays the eee-vill reform-school potentate. But when Jimmy arrives, as a deputy commissioner of something-or-other out to reform reform schools, he slashes the air with his hands and jumps on the balls of his feet and spits out punchy Warners-First National dialogue with all the customary, and expected, panache. The psychology in this crisp antique, one of Warners\' many efforts to assert its place as the ""socially conscious"" studio, doesn\'t run deep: Digges is bad just because the script requires him to be, and there\'s the quaint notion that juvenile delinquents will turn into swell kids if they\'re just given a dash of autonomy. But it\'s made in that spare, fast style that the studio specialized in, and it never bores. Frankie Darro, who got into all kinds of onscreen trouble during a brief tenure as Warners\' favorite Rotten Street Kid, is an ideal JD -- a handsome, charismatic toughie with a pug nose and a hate-filled stare that could wither steel. No kid actor today can touch him.'",1
"b""If this film doesn't at least be selected for an oscar nominee for best foreign film I'm going to stop waking at nights watching the event. Fridrik Thor Fridriksson has proven that money isn't the key to making a good movie but originality. Out of a cold country comes a warm but thought-provoking film of a mentally ill man and his struggle against an insane world. After an insight like this, you question whether or not the man is crazy or the world he lives in.""",1
"b""A huge cast gathered for this remake which sadly was a box office failure notwithstanding a great sound track. I can't say it was riveting entertainment, nor a cure for insomnia. Nevertheless I enjoyed the film - it provided the escape I was after one afternoon. A good look for those of us looking for the ideal life, albeit a fantasy. Expect some corny moments, few thrills, and an occasional laugh.""",1
"b'What do you get when you have a tenacious, seasoned French police inspector by the name of Maurice Martineau is called to solve a murder case? Well, simply a very entertaining, fun film. The re-mastered black-and-white film ""Quai des Orfevres"" delivers the goods despite romance, jealousy and marriage that seem to just get in the way towards the truth of \'who done it?\'<br /><br />Inch by inch, technique by technique as seasoned by experience and intuition, the patience of this master Inspector etches into the truth -- but of course, with the help of a bag full of dirty police interrogation tricks.<br /><br />Martineau is the centerpiece of this film. The use by director Henri-Georges Clouzot of raucous background music to intensify the drama in grand film noir style is a wonderful wrapper around the visual experience.<br /><br />Martineau eventually solves the mystery and arrests the culprit. Hey, he is good!! But alas, Martineau, too, can keep a dark secret in his past. Who is that boy that is perhaps not his son?<br /><br />Some things can never get solved -- even beyond the closing credits.'",1
"b""My wife and kids was and still is the best comedy series on TV ever made.I really enjoyed it and everyone in the u.k still watch the recaps.The Wayans bros. should all somehow be featuring together in a comedy show.My wife and kids was a comedy the whole family could watch and you don't get that very often.Isn't there anything we can do to make it happen again??We would do anything to have that comedy show on again!1 Damon Wayans should make a come back! I would really like Damon Wayans to star or make another comedy like this one of course with the help of the whole Wayans family.I was really sad when it ended that way and I hope they will be more to come in the future.Brilliant comedy,excellent stuff! yours truly, DezMo""",1
"b'Big Fat Liar is a great watch for kids of all ages, even adults. I had a great time watching this movie and recommend this to kids of 10 years and under. The laughs never end and the adventurous plot is pretty good too! Frankie Muniz is funny and Marty Wolfe is hilarious! Overall, a nicely made film for kids to enjoy and just have a great time.'",1
"b'This is a good plot concept, so why-o-why is it such a poor film. The acting is terrible and every shock is signposted so far in advance that it is almost laughable by the time it reaches you. Spend your time and money elsewhere, this is not worth watching.'",0
"b""1 hour and 40 minutes of talking--boring talking, and more talking and then some. It is hard for me to grasp how an actress like Anne Parillaud, who shone superbly in Femme Fatale, would sign up for such a piece of crap! Unbelievable. If you need a nightcap, this movie might help, although I would prefer some nice classical music. unfortunately, i just found out that i have to write 10 lines for my comment to appear--that's almost as unbelievable! so, short and succinct one or two sentence commentaries expressing one's core take on a movie is not enough. geez, people. i made my point and don't to waste your time with more, unnecessary words--as this movie does. Wolfgang""",0
"b""Even though this film is 11 years old, I just rented it yesterday, and I found it to be a really touching film. The story of true friendship in the face of a very real monster is an inspiration and quite touching.<br /><br />While I did not care much for the amount of language used by some of the young actors--especially from Renfro--I understand that art is imitating life. Renfro once again does a magnificent job of the rough-and-tough, very (and I mean VERY) disturbed wannabe bully (his role in The Client comes to mind), and Mazzello does a wonderful job of the witty, somewhat quirky, Dexter--a child who realizes that his life must end too soon.<br /><br />While there are so many touching and funny moments in the movie, I have to say that my favorite was when the boys were cornered by Pony in the abandoned church, and Dexter (Mazzello) cut himself, saying his blood was poison. While very resourceful, and somewhat amusing seeing a grown man running away from two little kids, it's one of the hardest scenes in the film.<br /><br />Definitely check this one out, but prepared with your Kleenex--you'll need it!""",1
"b""While The Twilight Zone was a wonderful show, it was also very uneven--with some great episodes, some lousy ones and many in between. Don't believe the die-hard fans--there were some stinkers and this was definitely one of them.<br /><br />In a plot that is obviously meant to be an attack on Fidel Castro, a near lookalike (Peter Falk in lots of makeup and a beard) obtains a magic mirror that allows him to realize who all his enemies are so he can liquidate them. While I do believe that Castro is a thug and dictator (and tens of thousands of refugees and political prisoners will attest to this), it's amazing how this sort of preachy episode actually makes audiences laugh at the American efforts to marginalize the creep and actually makes Castro seem okay!! Think about it--Serling and company wanted to hurt Castro but instead only seemed to be obvious, preachy and silly in the process.<br /><br />It's indeed bad--almost laughably bad when seen today.""",0
"b""I thought this is an unbelievable boring movie! i heard the director can't speak french and so he left his actors tell what they wanted... Well, Valeria Bruni-Tedeschi is great, as usual but I can't say the same of other actors. They have nothing to say, especially Bruno Todeschini.<br /><br />They all seem very tired, this being one of the movie plot : tired of being together, of living abroad, of their live in general; so they spend half the movie sleeping in a hotel room. After a while i felt sleepy myself...<br /><br />I gave 4, because of some very beautiful scenes, including the last one.""",0
"b""There are three main problems with the film. Or rather there are three reasons why it isn't even a contender worthy of more serious consideration.<br /><br />Firstly, and this was always going to be true, it's not nearly as good as the books. However, at least we could have expected to reflect some of the Sapkowski's wit or depth.<br /><br />Secondly we have the production. Fantasy movies are, in my opinion, the hardest to produce well. Everything from the props through costumes, scenery, stunts and (especially) CGI is substandard.<br /><br />Finally, and this is many be very subjective, I just can't quite take the acting seriously. I wasn't brought up in Poland so I can't really judge- it may me my lack of familiarity with films in polish. All the same the lines seem very amateurishly delivered... The casting could be better as well.<br /><br />In summation, the only possible redeeming feature of this film is the remainder of the plot shining through: not unlike a diamond ring on a rotting cadaver.<br /><br />On a separate note I heard that the books are coming out in English. I haven't seen them yet but I can't imagine how one would even begin to translate them... I would ask the English-speaking reader to bare this in mind when judging the book.""",0
"b""This is a very modest, very lovely movie with a great score by Hoagy Carmichael and Frank Loesser with a standout number, We're The Couple In The Castle, that is totally evocative of the period and harks back to Penthouse Serenade just as the opening premise (Hoppity's coming) may well have inspired Fred Saidy and Yip Harburg's opening (Woody's Coming) in Finian's Rainbow six years later. I totally agree with those posters who have noted that were the name Disney appended to this it would by now have achieved 'classic' status rather than have fallen into neglect. It's wonderfully inventive, never more so than when objects barely noticed in the 'real' world assume a much greater significance - both pro and con - in the insect world. Actually it IS a classic, albeit a minor one.""",1
"b""What annoys me with so called 'science' programs such as these is that it is presented as if it were a FACT that dinosaurs live 'millions' of years ago. Firstly, nobody can even conduct a scientific experiment to prove that the earth is millions/billions of years old. It's a shallow theory based on inaccurate radiometric dating methods with huge assumptions thrown into the evolutionary pot.<br /><br />Secondly, nobody can prove that evolution ever happened. All Darwin's missing links are still MISSING ! If you look at all the fossils anywhere in or on the earth, they are complete animals of a certain kind eg: a dog or a cat. Nobody has ever found the skeleton of a dog turning into a cat or in the example presented in this series, a dinosaur turning into a bird.<br /><br />This is utter hogwash. There's more proof that Santa Claus exists than any animal changing into another kind of animal.<br /><br />All the ideas presented in this series is an attempt to eliminate the idea that the universe and the everything in it, was created.<br /><br />This series is NOT SCIENCE. It is a religious world view that hides under the banner of science. Science is something we can observe and repeat. What you are seeing here is SCIENCE FICTION. <br /><br />If you want to watch a science fiction program that has the decency to admit that it's a science fiction program, then rather watch Star Trek or Star Wars.""",0
"b'""Head"" is one of those films you\'ll have a lot of trouble convincing your friends to see, but once they do they\'ll fall in love with it. I don\'t know how many times this has happened to me. This film is just so funny and bizarre, really a deconstruction of everything the Monkees had been up to this point in their career. A lot the credit goes to Bob Rafelson who pretty much ended the Monkee\'s career with this film. My guess is he wanted to get out of directing the TV show and get into features, which he did in a big way after this one. Micky Dolenz is absolutely hilarious. I can\'t believe he didn\'t have a second life as a comic actor after this film. This film has a lot of great cameos and a lot of wonderful psychedelic nonsense. I feel like the reputation of this film is continuing to build and it wouldn\'t surprise me if it eventually becomes a full on cult classic'",1
"b""Once again seeing this kind of movies turns me more and more into English humor, not too often seen on screen since the days of Monty Python and Man About The House. Too bad.<br /><br />Brenda Blethyn (Who I first saw in Saving Grace early in the year, another must see by the way.) just excels, as Alfred Molina does. The rest of the cast, while virtually unknown to me, turns on great performances too. The film starts slowly and gradually gains in pace and amusement - midway I had tears in my eyes from laughing.<br /><br />All in all, a funny English movie, a thousand times better than the supposedly 'funny' garbage that comes from Hollywood.<br /><br />""",1
"b""I would not recommend this movie. Even though it is rated G and is clearly for kids there is quite a lot of swearing (including the dreaded 'F' and 'S' words). This kind of language doesn't offend me particularly but in a kids film? Come on.<br /><br />There was also quite a bit of implied sexual content, between one of the early adolescent male characters and any willing adult woman who came along - including a prostitute! <br /><br />The acting was as good as it gets in this genre of film but the story line was very very cheesy and even my four year old remarked that it was 'stupid'.<br /><br />Despite having Elizabeth Shue, this film is definitely not worth checking out if you haven't seen it.""",0
"b'With this movie I was really hoping that the idea was to make up for the hashed together ineptitude of the first AVP, and yet to my horror: Requiem is far worse than I could have imagined.<br /><br />My hopes were up in the opening moments of the film inside the Predator ship, and I almost breathed a sigh of relief when we finally saw the Predator home world (a throwaway digital matte painting, but still nice to finally see it) and then of course, the humans (if such poorly written characters can be referred to as such) are introduced...<br /><br />One must wonder why it seems to be impossible for Fox to make a good film out of Aliens and Predators. At the very least the supposed filmmakers could have done their homework.<br /><br />Characters are set up in the same manner in which we would expect from the worst Friday the 13th Sequel. The pizza delivery scene was cringe inducing as was every other scene of character interaction that followed it. Bimbos and teen non actors do not make for a REAL film, they make for a cheap flick, and Alien 1-3 and the Predator movies were good because they were produced above the concept (remember that the 1st Alien is a ""B"" movie done as an ""A"" movie) The Strause brothers really missed an opportunity, that could have been rectified by simply knowing their Alien+Predator roots: In both the Alien and Predator films we are introduced to characters that are part of a larger group (Alien: Refinery workers, Aliens: Marines, Alien 3: Convicts and in the Predator films we generally follow a main hero part of a unit; Predator, Arnold--Special forces, Predator 2: Danny Glover, Police) and it\'s easy to see where the filmmakers of both franchises started to go wrong: in Alien Ressurrection we have pirates...or something, AVP we have...explorers?...with guns?? and of course in AVP-R we have teen slasher clich\xc3\xa9s. What is there to identify with here? In concept the idea of a convict returning to a small town and a war vet returning seemed a set up for a First Blood type of action hero, but like many things it was never paid off.<br /><br />The Film-making is equally devoid of rhyme of reason. There is no sense of forward momentum to the action, just small sequences that build the most minuscule levels of tension or interest only to cut away just when they\'re getting interesting...taking the audience out of the movie at every turn. The action scenes themselves, though much ballyhooed in the trailers, are so darkly lit, it is literally impossible to tell what is going on during the fight scenes when they finally occur. Basically, the movie is hindered from many levels. Bad actors combined with poor direction and an atrocious screenplay (which as a screenwriter myself I noticed, seemed to hit every wrong note and clich\xc3\xa9 that only the most untalented writer devoid of ideas could have hashed together) The WRITING, if it can be called that, is not even direct to video quality, nor does it demonstrate a shred of respect for the established lore of the previous entries in the series. Why does the Predalien all the sudden have the ability to shoot alien embryos down a pregnant woman\'s throat to use her as an incubator for chestbursters? More than likely because the brain dead screenwriter needed a way to have more aliens for the predator to fight (and given the accelerated growth time even more so than the first AVP: as quickly as possible. Why must meaningless small talk between cardboard cutouts on sticks (meaning the supposed characters)substitute for real character development? (Remember a character is defined by what they DO, not SAY). Why is the Sheriff leading civilians to a cache of guns? (isn\'t he an officer of the law?) How does the bimbo of all people know where they are? Why does the Predalien wait for the Predator to VERY SLOWLY remove his mask before it attacks? Why are the aliens still falling into that nasty series-post-Alien 3 habit of hissing all the time to let their prey know to run? How on Earth did this series devolve to a character saying ""People are dying...we need guns!"" (how this writer even works is beyond me, and reflects badly on Fox\'s already destroyed artistic reputation. It\'s like everyone involved in the making of this film suffered from a mental impairment or really are that inept at every level of the film-making process. <br /><br />The EFFECTS are pretty lousy this time around. The Aliens look like men in suits and ADI is just getting lazy with their creature design. The Aliens look like modified leftovers from Alien Resurrection, with that same bulky musculature around the arms as if they did not learn from that movie that it was not a good design, nor a good one to recycle. Again, everything is shrouded in such a state of darkness not to create mystery or atmosphere, but simply to hide how bad the creatures look. And just like in AVP, Stan Winston is sorely missed when the fake looking Predator face is revealed.<br /><br />There are too many faults to list so I will just say this: Do not waste your money on this movie. Fox is beyond caring about the fans, as this cheap and trashy film is clearly evidence of. I felt bad having taken my girlfriend to see it (though it was free) and apologized to her profusely after. This is one die-hard fan who is done with the franchise.<br /><br />Note to Fox: What we really wanted wasn\'t a mindless slasher flick, it was a film adaptation of the original Darkhorse Comicbook, which was better than anything you\'ve produced for this franchise post 1993.<br /><br />Signing off.'",0
"b""Since I am not a big Steven Seagal fan, I thought this was a pretty good movie. It is apparent that his fans are very displeased with this drama that lacks an over abundance of martial arts and brute force.<br /><br />Gailard Sartain plays a self claimed patriot leader of a militia in a standoff with the ATF for weapons violations. He surrenders with the intentions of releasing a deadly virus. Seagal is a former CIA agent turned country doctor that pressures himself to find the antidote for the lethal bug that has incapacitated a small town. His Grandpa's Native American herbal remedy figures into the salvation.<br /><br />Notable appearances by L.Q. Jones, Camilla Belle and Silas Weir Mitchell. My personal favorite in this movie is Whitney Yellow Robe. She is stunning and appears to have what it takes to take on a more challenging role.<br /><br />Despite the far fetched ending, this was a decent movie that could have used a lot more action.""",0
"b""Out of all the Bat-films, Batman Returns is my favorite. This beautiful, dark, and funny film is one of Tim Burton's best work. Although it is much violent and darker, this is the Batman that creator Bob Kane envisioned many years ago. Michael Keaton reprises his role as the avenger of Gotham City. This time he's up against two deadly foes, Danny Devito's Penguin and Michelle Pfeiffer's Catwoman. With a great cast and film score by Danny Elfman, the movie takes us on an adventure as Batman battles the evil forces that are trying to take over Gotham City. Christopher Walken makes a great appearance as Max Shrek, a shrewd businessman who has an evil scheme up his sleeve. But of course, Michelle Pfeiffer is the one that steals the show. With all of these components, you have a film that will blow you away. This is the reason why you go to the movies. It's got everything. It's really a shame that Tim Burton didn't get to direct the other sequels. If so I think the franchise would still be going strong today. Batman Returns is an awesome experience for fans that like cool movies.""",1
